يمكنك متابعة جلسات علاج نفسي	['2']
تسمى مثل هذه الحاله بالرهاب الاجتماعي وربما تكون مرتبطه باضطراب الشخصيه القلقه تحتاجين لمراجعة طبيب نفسي للوقوف على جميع العوامل المؤثرة والاستفاضة في السيره المرضيه ولاكنها من الحالات اليسيرة القابله للشفاء اذا عولجت بشكل صحيح من بداية ظهور الأعراض تمنياتي لكي بالتوفيق	['1', '2', '3']
أنصحك بمراجعة الطبيب بشأن الدواء، كما أنصحك إذا كنت تعاني من القلق أو التوتر أو الأرق أو الإكتئاب بالمتابعة مع معالج نفسي أيضا للتحسن	['2']
قديكون ما ذكرني نتيجة لتناول مضادات الاكتئاب التي تسبب هكذا أعراض جانبية أنصحك بمراجعة طبيبك لتقييم العلاج من حيث فعاليته و أعراضه الجانبية	['1', '2']
يشير ما ذكرت إلى ما يسمى الانسحاب الاجتماعي مع فقدان الشغف المستمر و ظهور بعض الاعراض الجسدية ,الى أعراض مزاجية تشير الى اضطراب اكتئابي بحاجة الى متابعة دوائية	['1', '2']
تقل حدته ولكن اذا اصبحت تؤثر عليك فهي بحاجه لمعالجه نفسيه	['1', '2']
لابد من مراجعه طبيب نفسى حتى تتحسن ولا يحدث نكس ولا تهمل الامر	['2']
تعبر هذه الحالة عن ما يسمى تقلب المزاج و هي قد تأتي بشكل مستقل أو مصاحبة لاضطراب ما ممكن إعطاء جرعة خفيفة من مثبت مزاج لفترة محدودة	['1']
Deanxit يستغرق حوالي أسبوعين لإظهار بدايات للتحسن. المراحل الأولية غير مريحة، قد يعانى الشخص من الأرق وغيرها من الآثار الجانبية. يستخدم العلاج أساسا للاكتئاب, تأثيره فى حالات الذهان ضعيف جدا. لا تتوقف عن تناول الدواء دون ابلاغ طبيبك. لا تتناول أي مكيفات أو مخدرات أو كحوليات جنبا إلى جنب مع هذا الدواء, فقد تتفاعل سلبا مع بعضها البعض. لا يستخدم هذا الدواء في الولايات المتحدة، المملكة المتحدة، اليابان، كندا، أستراليا، الهند، أو أيرلندا. بالإضافة إلى ذلك، تم حظره أيضا في الدنمارك - بلد المنشأ, ويرجع ذلك إلى ظهور آثار جانبية عصبية خطيرة. في أي حال، يستخدم هذا الدواء فقط لفترة قصيرة.	['1']
ده قلق وتوتر قبل الامتحانات وده طبيعي اننا نقلق قبل حاجه مهمه ومصيريه في حياتنا الفكره ان القلق ده يكون دافع لمزيد من بذل الجهد والاجتهاد في المذاكره وليس العكس	['1']
يجب الإبتعاد عن التوتر وتجنب التشنجات والضغوطات، والمتابعة مع معالج نفسي لمساعدتك	['1']
طبعا فترة الحجر الصحي من الفترات التي فاقمت الكثير من الاضطرابات النفسية ،و تحديدا القلق و الاكتئاب مع وجود فترات فراغ طويلة و اجترار الافكار السلبية أنصحك بملء اوقات الفراغ و ممارسة المشي لنصف ساعة يوميا ،و في حال استمرت الأعراض أنصحك ب مراجعة طبيب نفسي	['1', '2']
لا بد من مراجعة الطبيب النفسي للعلاج	['2']
